id_estacao,nome,municipio,bacia,calculado_em,chuva_24h_mm,chuva_72h_mm,volume_escoado_m3,cn_base,cota_atual_cm,pico_projetado_cm,variacao_cm,tc_horas,instante_pico,horizonte_util_horas,confiavel,origem_projecao,tendencia,classe,motivo,horas_ate_inundacao
SACE_taquari_5,Bom Retiro do Sul,Bom Retiro do Sul,Bacia do Taquari-Antas,2026-08-16 09:56:20,2.1,13.76,,75.0,782.0,782.0,0.0,13.5,2026-08-16 06:30:00,20.25,1,estação,estável,abaixo,pico abaixo de todas as cotas oficiais,
SACE_taquari_7,Taquari,Taquari,Bacia do Taquari-Antas,2026-08-16 09:56:20,2.23,15.71,,75.0,517.0,517.0,0.0,17.0,2026-08-16 05:45:00,17.0,1,estação,recessão (vazante),atencao,pico atinge a cota de atenção,
SACE_guaiba_58,Passo São Lourenço,Passo São Lourenço,Bacia do Guaíba,2026-08-16 09:56:20,2.36,13.27,,75.0,741.0,794.4,53.39999999999998,41.25,2026-08-18 19:52:30,,0,estação,subindo,atencao,pico atinge a cota de atenção,
SACE_uruguai_71,Passo dos Britos,Passo dos Britos,Bacia do Rio Uruguai,2026-08-16 09:56:20,1.25,4.82,,75.0,234.0,234.0,0.0,3.5,2026-08-16 05:45:00,5.25,1,estação,estável,estavel,variação de 0 % da amplitude de 30 dias,
SACE_guaiba_72,Usina do Gasômetro,Usina do Gasômetro,Bacia do Guaíba,2026-08-16 09:56:20,4.19,15.18,,75.0,128.0,133.6,5.599999999999994,29.25,2026-08-18 02:07:30,,0,estação,estável,abaixo,pico abaixo de todas as cotas oficiais,
SACE_uruguai_31,Rosário do Sul,Rosário do Sul,Bacia do Rio Uruguai,2026-08-16 09:56:20,0.6,2.2,,75.0,200.0,256.3,56.30000000000001,21.75,2026-08-16 16:22:30,,0,estação,subindo,abaixo,pico abaixo de todas as cotas oficiais,
SACE_guaiba_14,Terminal CATSUL Guaíba,Terminal CATSUL Guaíba,Bacia do Guaíba,2026-08-16 09:56:20,6.8,15.6,,75.0,153.0,159.8,6.800000000000011,30.0,2026-08-18 02:45:00,,0,estação,estável,estavel,variação de 6 % da amplitude de 30 dias,
SACE_uruguai_29,Uruguaiana,Uruguaiana,Bacia do Rio Uruguai,2026-08-16 09:56:20,2.8,3.0,,75.0,698.0,698.0,0.0,5.75,2026-08-16 05:30:00,,0,estação,estável,atencao,pico atinge a cota de atenção,
SACE_uruguai_28,Alegrete,Alegrete,Bacia do Rio Uruguai,2026-08-16 09:56:20,0.5,2.03,,75.0,353.0,353.0,0.0,3.0,2026-08-16 05:15:00,4.5,0,estação,estável,abaixo,pico abaixo de todas as cotas oficiais,
SACE_uruguai_27,Quaraí,Quaraí,Bacia do Rio Uruguai,2026-08-16 09:56:20,0.41,1.71,,75.0,151.0,151.0,0.0,0.25,2026-08-16 05:22:30,0.38,0,estação,estável,abaixo,pico abaixo de todas as cotas oficiais,
SACE_uruguai_37,Iraí,Iraí,Bacia do Rio Uruguai,2026-08-16 09:56:20,0.0,2.8,,75.0,484.0,484.0,0.0,21.25,2026-08-16 05:00:00,,0,estação,recessão (vazante),abaixo,pico abaixo de todas as cotas oficiais,
