id,fonte,codigo,nome,municipio,rio,bacia,lat,lon,tipo,automatica,cota_atencao_cm,cota_alerta_cm,cota_inundacao_cm,nivel_cm,vazao_m3s,chuva_1h,chuva_24h,chuva_72h,medido_em,situacao,cor,observacao,url_origem,atualizado_em
SACE_cai_108,SACE/SGB,871700,Barca do Caí,Barca do Caí,,Bacia do Rio Caí,-29.59013,-51.38353,FLUVIOMETRICA,1,500.0,700.0,1050.0,328.0,,0.0,0.0,0.0,2026-08-24 12:45:00,Normal,green,,https://www.sgb.gov.br/sace/sace_nivel/relatorio.php?apenas_grafico=sim&bacia=cai&pm=108&s=139&sr=140,2026-08-24 19:45:51
SACE_taquari_33,SACE/SGB,8678000,Barra do Fão,Barra do Fão,Forqueta,Bacia do Taquari-Antas,-29.2239,-52.1622,FLUVIOMETRICA,1,400.0,600.0,1000.0,141.0,,0.0,0.0,0.0,2026-08-24 14:45:00,Normal,green,,https://www.sgb.gov.br/sace/sace_nivel/relatorio.php?apenas_grafico=sim&bacia=taquari&pm=33&s=56&sr=57,2026-08-24 19:45:51
SACE_cai_138,SACE/SGB,8716859,Bom Princípio,Bom Princípio,Caí,Bacia do Rio Caí,-29.5072,-51.3556,FLUVIOMETRICA,1,800.0,970.0,,372.0,,0.0,0.0,0.0,2026-08-24 12:00:00,Normal,green,,https://www.sgb.gov.br/sace/sace_nivel/relatorio.php?apenas_grafico=sim&bacia=cai&pm=138&s=209&sr=210,2026-08-24 19:45:51
SACE_taquari_5,SACE/SGB,8688200,Bom Retiro do Sul,Bom Retiro do Sul,Taquari,Bacia do Taquari-Antas,-29.60837,-51.9504,FLUVIOMETRICA,1,900.0,1200.0,1650.0,438.0,,0.0,0.0,0.0,2026-08-24 12:30:00,Normal,green,,https://www.sgb.gov.br/sace/sace_nivel/relatorio.php?apenas_grafico=sim&bacia=taquari&pm=5&s=110&sr=111,2026-08-24 19:45:51
SACE_guaiba_22,SACE/SGB,87401750,CORSAN Alvorada,CORSAN Alvorada,Gravataí,Bacia do Guaíba,-29.9683,-51.0367,FLUVIOMETRICA,1,,,500.0,328.0,,0.0,0.0,0.2,2026-08-24 14:00:00,Normal,green,,https://www.sgb.gov.br/sace/sace_nivel/relatorio.php?apenas_grafico=sim&bacia=guaiba&pm=22&s=14&sr=15,2026-08-24 19:45:51
SACE_guaiba_16,SACE/SGB,87450004,Cais Mauá C6,Cais Mauá C6,,Bacia do Guaíba,-30.0211,-51.2211,FLUVIOMETRICA,1,190.0,260.0,300.0,187.0,,0.0,0.0,0.0,2026-08-24 15:00:00,Normal,green,,https://www.sgb.gov.br/sace/sace_nivel/relatorio.php?apenas_grafico=sim&bacia=guaiba&pm=16&s=3&sr=75,2026-08-24 19:45:51
SACE_guaiba_83,SACE/SGB,85623010,Camping São Sepé CPRM,Camping São Sepé CPRM,São Sepé,Bacia do Guaíba,-30.1942,-53.5633,FLUVIOMETRICA,1,,,,101.0,,0.0,0.0,0.0,2026-08-24 12:45:00,Normal,green,,https://www.sgb.gov.br/sace/sace_nivel/relatorio.php?apenas_grafico=sim&bacia=guaiba&pm=83&s=93&sr=92,2026-08-24 19:45:51
SACE_guaiba_20,SACE/SGB,8738000,Campo Bom,Campo Bom,dos Sinos,Bacia do Guaíba,-29.69166,-51.04611,FLUVIOMETRICA,1,500.0,600.0,680.0,352.0,,0.0,0.0,0.2,2026-08-24 12:00:00,Normal,green,,https://www.sgb.gov.br/sace/sace_nivel/relatorio.php?apenas_grafico=sim&bacia=guaiba&pm=20&s=13&sr=12,2026-08-24 19:45:51
SACE_cai_113,SACE/SGB,0295004,Capão dos Coxos,Capão dos Coxos,,Bacia do Rio Caí,-29.40881,-50.58437,PLUVIOMETRICA,1,,,,,,0.0,0.0,0.2,2026-08-24 16:30:00,Normal,green,,https://www.sgb.gov.br/sace/sace_nivel/relatorio.php?apenas_grafico=sim&bacia=cai&pm=113&s=&sr=151,2026-08-24 19:45:51
ANA_03055019,ANA telemetria,03055019,Cerro Do Combate,Santana Do Livramento,,Não catalogada (ANA),-30.5469,-55.3197,PLUVIOMETRICA,1,,,,,,,,,,Sem transmissão recente,gray,,https://telemetriaws1.ana.gov.br/ServiceANA.asmx/DadosHidrometeorologicos?codEstacao=03055019&dataInicio=&dataFim=,2026-08-24 19:45:51
