id,nome,municipio,fonte,tipo,lat,lon,rio,bacia,bacia_oficial,area_drenagem_km2,nivel_cm,medido_em,chuva_24h,chuva_72h,vazao_m3s,origem_vazao,cota_atencao_cm,cota_alerta_cm,cota_inundacao_cm,situacao,cor,observacao
ANA_74467000,Pch Marco Baldo Jusante,Braga,ANA telemetria,PLUVIOMETRICA,-27.5647,-53.7869,Rio Turvo,Não catalogada (ANA),,,,,,,,,,,,Sem transmissão recente,gray,
ANA_74468000,Pch Toca Do Tigre Barramento,Braga,ANA telemetria,PLUVIOMETRICA,-27.5453,-53.8069,Rio Turvo,Não catalogada (ANA),,,,,,,,,,,,Sem transmissão recente,gray,
ANA_74468500,Pch Toca Do Tigre Jusante,Bom Progresso,ANA telemetria,FLUVIOMETRICA,-27.5353,-53.815,Rio Turvo,Não catalogada (ANA),,,296.0,2026-08-24 17:00:00,0.0,0.0,79.8,medida,,,,Sem cota de referência publicada,gray,
ANA_74505400,Cgh Crissiumal Jusante,Crissiumal,ANA telemetria,PLUVIOMETRICA,-27.405,-54.1681,Lajeado Grande,Não catalogada (ANA),,,,,,,,,,,,Sem transmissão recente,gray,
ANA_74549990,Cgh Buricá Barramento,Inhacorá,ANA telemetria,PLUVIOMETRICA,-27.8969,-54.1072,Rio Buricá,Não catalogada (ANA),,,,,,,,,,,,Sem transmissão recente,gray,
ANA_74550000,Cgh Buricá Jusante,Inhacorá,ANA telemetria,PLUVIOMETRICA,-27.8914,-54.1028,Rio Buricá,Não catalogada (ANA),,,,,,,,,,,,Sem transmissão recente,gray,
ANA_74620500,Tucunduva/Horizontina,Horizontina,ANA telemetria,PLUVIOMETRICA,-27.6064,-54.3914,Lajeado Dos Pratos,Não catalogada (ANA),,,,,,,,,,,,Sem transmissão recente,gray,
ANA_74670000,Cgh Bela União Barramento,Santa Rosa,ANA telemetria,FLUVIOMETRICA,-27.7811,-54.3736,Rio Santa Rosa,Não catalogada (ANA),,,129.63,2026-08-24 17:29:00,,,,,,,,Sem cota de referência publicada,gray,
ANA_74676000,Cgh Santa Rosa Montante,Três De Maio,ANA telemetria,PLUVIOMETRICA,-27.7761,-54.3758,Rio Santa Rosa,Não catalogada (ANA),,,,,,,,,,,,Sem transmissão recente,gray,
ANA_74678000,Cgh Santa Rosa Jusante 1,Três De Maio,ANA telemetria,PLUVIOMETRICA,-27.7722,-54.3917,Rio Santa Rosa,Não catalogada (ANA),,,,,,,,,,,,Sem transmissão recente,gray,
ANA_74678500,Cgh Santa Rosa Jusante 2,Três De Maio,ANA telemetria,PLUVIOMETRICA,-27.7697,-54.3889,Rio Santa Rosa,Não catalogada (ANA),,,,,,,,,,,,Sem transmissão recente,gray,
ANA_74694000,Cgh Santo Antônio Barramento,Santa Rosa,ANA telemetria,PLUVIOMETRICA,-27.7303,-54.4083,Rio Santa Rosa,Não catalogada (ANA),,,,,,,,,,,,Sem transmissão recente,gray,
ANA_74699002,Tuparendi/Tucunduva,Tuparendi,ANA telemetria,PLUVIOMETRICA,-27.6769,-54.4656,Rio Santa Rosa,Não catalogada (ANA),,,,,,,,,,,,Sem transmissão recente,gray,
ANA_74746000,Santa Rosa - Pessegueirinho,Santa Rosa,ANA telemetria,PLUVIOMETRICA,-27.8639,-54.4869,Lajeado Pessegueirinho,Não catalogada (ANA),,,,,,,,,,,,Sem transmissão recente,gray,
ANA_74746700,Santa Rosa - Pessegueiro,Santa Rosa,ANA telemetria,PLUVIOMETRICA,-27.8783,-54.4914,Lajeado Pessegueiro,Não catalogada (ANA),,,,,,,,,,,,Sem transmissão recente,gray,
ANA_74800000,Porto Lucena,Porto Lucena,ANA telemetria,PLUVIOMETRICA,-27.8525,-55.0256,Rio Uruguai,Não catalogada (ANA),,,,,,,,,,,,Sem transmissão recente,gray,
ANA_74860003,Guarani Das Missões,Guarani Das Missões,ANA telemetria,PLUVIOMETRICA,-28.1397,-54.5603,Rio Comandaí,Não catalogada (ANA),,,,,,,,,,,,Sem transmissão recente,gray,
ANA_74899050,Campina Das Missões,Campina Das Missões,ANA telemetria,FLUVIOMETRICA,-27.9839,-54.8256,Arroio Pessegueiro,Não catalogada (ANA),,,,2026-08-24 17:40:00,0.0,0.2,,,,,,Sem cota de referência publicada,gray,"nivel_cm=14593 fora da faixa [0, 5000]"
ANA_74910010,Porto Lucena/Porto Xavier,Porto Xavier,ANA telemetria,PLUVIOMETRICA,-27.8797,-55.0519,Rio Comandaí,Não catalogada (ANA),,,,,,,,,,,,Sem transmissão recente,gray,
ANA_75020200,Panambi,Panambi,ANA telemetria,PLUVIOMETRICA,-28.3011,-53.5033,Rio Fiuzá,Não catalogada (ANA),,,,,,,,,,,,Sem transmissão recente,gray,
ANA_75050000,Pch José Barasuol Montante,Ajuricaba,ANA telemetria,PLUVIOMETRICA,-28.2739,-53.6486,Rio Ijuí,Não catalogada (ANA),,,,,,,,,,,,Sem transmissão recente,gray,
ANA_75060000,Cgh Caxambú Barramento,Panambi,ANA telemetria,PLUVIOMETRICA,-28.3969,-53.4583,Rio Caxambu,Não catalogada (ANA),,,,,,,,,,,,Sem transmissão recente,gray,
ANA_75120000,Pch Passo De Ajuricaba Barramento,Ijuí,ANA telemetria,FLUVIOMETRICA,-28.2825,-53.8103,Rio Ijuí,Não catalogada (ANA),,,254.0,2026-08-24 14:00:00,,,61.87,medida,,,,Sem cota de referência publicada,gray,
ANA_75155010,Pch Passo Do Ajuricaba Montante,Bozano,ANA telemetria,PLUVIOMETRICA,-28.2869,-53.7803,Rio Ijuí,Não catalogada (ANA),,,,,,,,,,,,Sem transmissão recente,gray,
ANA_75175100,Pch Sede Ii Montante,Ijuí,ANA telemetria,PLUVIOMETRICA,-28.4008,-53.8283,Rio Potiribu,Não catalogada (ANA),,,,,,,,,,,,Sem transmissão recente,gray,
ANA_75178000,Pch José Barasuol Barramento,Ijuí,ANA telemetria,PLUVIOMETRICA,-28.2925,-53.8778,Rio Ijuí,Não catalogada (ANA),,,,,,,,,,,,Sem transmissão recente,gray,
ANA_75180000,Pch Rs-155 Barramento,Ijuí,ANA telemetria,PLUVIOMETRICA,-28.3128,-53.8964,Rio Ijuí,Não catalogada (ANA),,,,,,,,,,,,Sem transmissão recente,gray,
ANA_75181000,Pch Rs-155 Jusante,Ijuí,ANA telemetria,FLUVIOMETRICA,-28.3128,-53.9131,Rio Ijuí,Não catalogada (ANA),,,142.0,2026-08-24 17:02:00,0.0,0.2,70.94,medida,,,,Sem cota de referência publicada,gray,
ANA_75185200,Pch Sede Ii Barramento,Ijuí,ANA telemetria,PLUVIOMETRICA,-28.3711,-53.8792,Rio Potiribu,Não catalogada (ANA),,,,,,,,,,,,Sem transmissão recente,gray,
ANA_75186660,Pch Linha Onze Oeste Barramento,Coronel Barros,ANA telemetria,PLUVIOMETRICA,-28.3511,-54.0047,Rio Ijuí,Não catalogada (ANA),,,,,,,,,,,,Sem transmissão recente,gray,
ANA_75186900,Pch Linha Onze Oeste Jusante,Coronel Barros,ANA telemetria,PLUVIOMETRICA,-28.3558,-54.0464,Rio Ijuí,Não catalogada (ANA),,,,,,,,,,,,Sem transmissão recente,gray,
ANA_75186960,Cgh Esquina Gaúcha Jusante,Entre-Ijuis,ANA telemetria,FLUVIOMETRICA,-28.3397,-54.1994,Rio Ijuí,Não catalogada (ANA),,,267.0,2026-08-24 17:00:00,0.0,0.0,301.71,medida,,,,Sem cota de referência publicada,gray,
ANA_75187000,Pch José Barasuol Rio Potiribu,Ijuí,ANA telemetria,PLUVIOMETRICA,-28.3603,-53.9008,Rio Potiribu,Não catalogada (ANA),,,,,,,,,,,,Sem transmissão recente,gray,
ANA_75187950,Cgh Formigueiro Barramento,Boa Vista Do Cadeado,ANA telemetria,PLUVIOMETRICA,-28.5369,-53.8603,Rio Conceição,Não catalogada (ANA),,,,,,,,,,,,Sem transmissão recente,gray,
ANA_75188050,Cgh Formigueiro Jusante,Boa Vista Do Cadeado,ANA telemetria,PLUVIOMETRICA,-28.5383,-53.8633,Rio Conceição,Não catalogada (ANA),,,,,,,,,,,,Sem transmissão recente,gray,
ANA_75199000,Cgh Augusto Pestana Barramento,Augusto Pestana,ANA telemetria,PLUVIOMETRICA,-28.4864,-53.9503,Rio Conceição,Não catalogada (ANA),,,,,,,,,,,,Sem transmissão recente,gray,
ANA_75269900,Cgh Igrejinha Barramento,Boa Vista Do Cadeado,ANA telemetria,FLUVIOMETRICA,-28.7953,-53.9714,Rio Ijuizinho,Não catalogada (ANA),,,166.0,2026-08-24 17:00:00,0.0,16.8,,,,,,Sem cota de referência publicada,gray,
ANA_75270000,Pch Ijuizinho Ponte Queimada,Jóia,ANA telemetria,PLUVIOMETRICA,-28.7778,-53.9817,Rio Ijuizinho,Não catalogada (ANA),,,,,,,,,,,,Sem transmissão recente,gray,
ANA_75280100,Cgh Igrejinha Jusante,Boa Vista Do Cadeado,ANA telemetria,FLUVIOMETRICA,-28.7797,-53.9628,Rio Ijuizinho,Não catalogada (ANA),,,155.0,2026-08-24 17:00:00,0.0,0.0,20.83,medida,,,,Sem cota de referência publicada,gray,
ANA_75287000,Pch Ijuizinho Montante,Eugênio De Castro,ANA telemetria,PLUVIOMETRICA,-28.5433,-54.1553,Rio Ijuizinho,Não catalogada (ANA),,,,,,,,,,,,Sem transmissão recente,gray,
ANA_75287850,Pch Ijuizinho Reservatório,Eugênio De Castro,ANA telemetria,PLUVIOMETRICA,-28.4553,-54.2792,Rio Ijuizinho,Não catalogada (ANA),,,,,,,,,,,,Sem transmissão recente,gray,
ANA_75288000,Pch Ijuizinho Barramento,Entre-Ijuis,ANA telemetria,PLUVIOMETRICA,-28.4417,-54.2886,Rio Ijuizinho,Não catalogada (ANA),,,,,,,,,,,,Sem transmissão recente,gray,
ANA_75288030,Pch Ijuizinho Alça,Eugênio De Castro,ANA telemetria,PLUVIOMETRICA,-28.4419,-54.2967,Rio Ijuizinho,Não catalogada (ANA),,,,,,,,,,,,Sem transmissão recente,gray,
ANA_75288100,Pch Ijuizinho Jusante,Entre-Ijuis,ANA telemetria,PLUVIOMETRICA,-28.4356,-54.2889,Rio Ijuizinho,Não catalogada (ANA),,,,,,,,,,,,Sem transmissão recente,gray,
